g1,g2,team1,team2,,,,,,,
0,3,Aston Villa,Arsenal,,,,,,,
0,0,Burnley,Sunderland,,,,,,,
2,2,Newcastle,Hull,,,,,,,
2,2,QPR,Stoke,,,,,,,
0,1,Swansea,Southampton,,,,,,,
3,1,West Ham,Liverpool,,,,,,,
2,3,Everton,Crystal Palace,,,,,,,
5,3,Leicester,Man United,,,,,,,
1,1,Man City,Chelsea,,,,,,,
0,1,Tottenham,West Brom,,,,,,,
1,1,Arsenal,Tottenham,,,,,,,
3,0,Chelsea,Aston Villa,,,,,,,
2,0,Crystal Palace,Leicester,,,,,,,
2,4,Hull,Man City,,,,,,,
1,1,Liverpool,Everton,,,,,,,
2,1,Man United,West Ham,,,,,,,
2,1,Southampton,QPR,,,,,,,
0,0,Sunderland,Swansea,,,,,,,
4,0,West Brom,Burnley,,,,,,,
1,0,Stoke,Newcastle,,,,,,,
0,2,Aston Villa,Man City,,,,,,,
2,0,Hull,Crystal Palace,,,,,,,
2,2,Leicester,Burnley,,,,,,,
2,1,Liverpool,West Brom,,,,,,,
3,1,Sunderland,Stoke,,,,,,,
2,2,Swansea,Newcastle,,,,,,,
2,0,Chelsea,Arsenal,,,,,,,
2,1,Man United,Everton,,,,,,,
1,0,Tottenham,Southampton,,,,,,,
2,0,West Ham,QPR,,,,,,,
2,2,Arsenal,Hull,,,,,,,
1,3,Burnley,West Ham,,,,,,,
1,2,Crystal Palace,Chelsea,,,,,,,
3,0,Everton,Aston Villa,,,,,,,
4,1,Man City,Tottenham,,,,,,,
1,0,Newcastle,Leicester,,,,,,,
8,0,Southampton,Sunderland,,,,,,,
2,3,QPR,Liverpool,,,,,,,
2,1,Stoke,Swansea,,,,,,,
2,2,West Brom,Man United,,,,,,,
0,0,Liverpool,Hull,,,,,,,
1,0,Southampton,Stoke,,,,,,,
0,2,Sunderland,Arsenal,,,,,,,
2,0,Swansea,Leicester,,,,,,,
2,2,West Brom,Crystal Palace,,,,,,,
2,1,West Ham,Man City,,,,,,,
1,3,Burnley,Everton,,,,,,,
1,1,Man United,Chelsea,,,,,,,
1,2,Tottenham,Newcastle,,,,,,,
2,0,QPR,Aston Villa,,,,,,,
3,0,Arsenal,Burnley,,,,,,,
2,1,Chelsea,QPR,,,,,,,
0,0,Everton,Swansea,,,,,,,
0,1,HUll,Southampton,,,,,,,
0,1,Leicester,West Brom,,,,,,,
2,2,Stoke,West Ham,,,,,,,
1,0,Newcastle,Liverpool,,,,,,,
1,2,Aston Villa,Tottenham,,,,,,,
1,0,Man City,Man United,,,,,,,
1,3,Crystal Palace,Sunderland,,,,,,,
2,2,QPR,Man City,,,,,,,
1,0,Burnley,Hull,,,,,,,
1,0,Man United,Crystal Palace,,,,,,,
2,0,Southampton,Leicester,,,,,,,
0,0,West Ham,Aston Villa,,,,,,,
1,2,Liverpool,Chelsea,,,,,,,
2,1,Swansea,Arsenal,,,,,,,
1,1,Sunderland,Everton,,,,,,,
1,2,Tottenham,Stoke,,,,,,,
0,2,West Brom,Newcastle,,,,,,,
1,2,Arsenal,Man United,,,,,,,
2,0,Chelsea,West Brom,,,,,,,
2,1,Everton,West Ham,,,,,,,
0,0,Leicester,Sunderland,,,,,,,
2,1,Man City,Swansea,,,,,,,
1,0,Newcastle,QPR,,,,,,,
1,2,Stoke,Burnley,,,,,,,
1,2,Hull,Tottenham,,,,,,,
3,1,Crystal Palace,Liverpool,,,,,,,
1,1,Aston Villa,Southampton,,,,,,,
0,0,Sunderland,Chelsea,,,,,,,
1,1,Burnley,Aston Villa,,,,,,,
1,0,Liverpool,Stoke,,,,,,,
3,0,Man Utd,Hull,,,,,,,
3,2,QPR,Leicester,,,,,,,
1,1,Swansea,Crystal Palace,,,,,,,
1,0,West Ham,Newcastle,,,,,,,
0,1,West Brom,Arsenal,,,,,,,
2,1,Tottenham,Everton,,,,,,,
0,3,Southampton,Man City,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
